ID,URL,Title,Duration (minutes),Status,Audio Path
bBOFyrfMXso,https://www.youtube.com/watch?v=bBOFyrfMXso,GAN KO XO II Mɔjɛmɛ : Fâ - Gbé Wôli,14.43,success,Audios/bBOFyrfMXso.mp3
3Tx9ey0m11w,https://www.youtube.com/watch?v=3Tx9ey0m11w,Afountountoun sur l'émission GAN KO XO @AfountountounOfficiel,21.35,success,Audios/3Tx9ey0m11w.mp3
jsUPeALU0Wo,https://www.youtube.com/watch?v=jsUPeALU0Wo,Bande annonce de l'émission GAN KO XO - L'argent sale.,0.97,success,Audios/jsUPeALU0Wo.mp3
uOVUpZ7iPA4,https://www.youtube.com/watch?v=uOVUpZ7iPA4,GAN KO XO II L'argent sale existe-t-il ?,59.18,success,Audios/uOVUpZ7iPA4.mp3
m89kOlkB4JA,https://www.youtube.com/watch?v=m89kOlkB4JA,GAN KO XO II FÂ - Sâ Mèdji,17.98,success,Audios/m89kOlkB4JA.mp3
EOkuS-GJ7HI,https://www.youtube.com/watch?v=EOkuS-GJ7HI,"GAN KO XO II Le  phénomène de lancement de ""New single""",16.33,success,Audios/EOkuS-GJ7HI.mp3
aqz4uzyhF18,https://www.youtube.com/watch?v=aqz4uzyhF18,Bande annonce de l'émission GAN KO XO,1.0,success,Audios/aqz4uzyhF18.mp3
nWQ1WmI7y2g,https://www.youtube.com/watch?v=nWQ1WmI7y2g,GAN KO XO II Les jeunes filles d'aujourd'hui mènent-elles une vie digne?,70.13,success,Audios/nWQ1WmI7y2g.mp3
RHOdR-lRGDI,https://www.youtube.com/watch?v=RHOdR-lRGDI,BANDE ANNONCE #GANKOXO DU DIMANCHE 26 MAI,0.98,success,Audios/RHOdR-lRGDI.mp3
UWWGYscCOiw,https://www.youtube.com/watch?v=UWWGYscCOiw,Comédie: Immitation du Président,1.58,success,Audios/UWWGYscCOiw.mp3
NVeRmFDrdUY,https://www.youtube.com/watch?v=NVeRmFDrdUY,GAN KO XO II DOIT-ON S'OPPOSER AUX PARENTS POUR RÉALISER SES PROJETS ?,65.37,success,Audios/NVeRmFDrdUY.mp3
tPJppWK4vAg,https://www.youtube.com/watch?v=tPJppWK4vAg,GAN KO XO II FÂ - WOLI DOULA,17.2,success,Audios/tPJppWK4vAg.mp3
1URHFmWZRMg,https://www.youtube.com/watch?v=1URHFmWZRMg,PRINCE DG MIKPAKLUNON SUR GAN KO XO,26.45,success,Audios/1URHFmWZRMg.mp3
kA_2tAWltE8,https://www.youtube.com/watch?v=kA_2tAWltE8,MTJ SUR L'ÉMISSION GAN KO XO,14.95,success,Audios/kA_2tAWltE8.mp3
-tYQRWQfzo8,https://www.youtube.com/watch?v=-tYQRWQfzo8,L'Artiste DELPHINO'S sur GAN KO XO,20.95,success,Audios/-tYQRWQfzo8.mp3
YIYfBFIz_8A,https://www.youtube.com/watch?v=YIYfBFIz_8A,GAN KO XO II Doit-on dépenser pour une fille avant son OUI pour la relation ?,60.53,success,Audios/YIYfBFIz_8A.mp3
oI9cfYZDSMw,https://www.youtube.com/watch?v=oI9cfYZDSMw,Bande annonce de l'émission GAN KO XO,0.97,success,Audios/oI9cfYZDSMw.mp3
jaNZ0SGJo0k,https://www.youtube.com/watch?v=jaNZ0SGJo0k,Bande annonce de l'émission GAN KO XO,0.97,success,Audios/jaNZ0SGJo0k.mp3
59cuGmuqJ7M,https://www.youtube.com/watch?v=59cuGmuqJ7M,GAN KO XO II Est-il bon de rendre public une assistance portée à autrui ? @zagorcomedien,77.83,success,Audios/59cuGmuqJ7M.mp3
6OFAidKKS0Y,https://www.youtube.com/watch?v=6OFAidKKS0Y,L'artiste comédien @zagorcomedien sur l'émission GAN KO XO,32.25,success,Audios/6OFAidKKS0Y.mp3
3mzBltRXPdI,https://www.youtube.com/watch?v=3mzBltRXPdI,GAN KO XO: Fâ - Lètè gouda,23.0,success,Audios/3mzBltRXPdI.mp3
ZviPJ3XpOIA,https://www.youtube.com/watch?v=ZviPJ3XpOIA,GAN KO XO  II FÂ - Gbé Fou,19.4,success,Audios/ZviPJ3XpOIA.mp3
kUL2sHCz7dU,https://www.youtube.com/watch?v=kUL2sHCz7dU,GAN KO XO II AZIZA HWÉ,12.87,success,Audios/kUL2sHCz7dU.mp3
qTWyVryGjX8,https://www.youtube.com/watch?v=qTWyVryGjX8,GAN KO XO II Est-il bon d'exposer son couple sur les réseaux sociaux?,65.2,success,Audios/qTWyVryGjX8.mp3
ZQzQUdfVVhI,https://www.youtube.com/watch?v=ZQzQUdfVVhI,L'Artiste HOUESSI l'argent sur GAN KO XO,21.83,success,Audios/ZQzQUdfVVhI.mp3
yNabcBfLjGE,https://www.youtube.com/watch?v=yNabcBfLjGE,BANDE ANNONCE #GANKOXO DU DIMANCHE 24 juillet 2022,0.8,success,Audios/yNabcBfLjGE.mp3
G9rcSKO4-8A,https://www.youtube.com/watch?v=G9rcSKO4-8A,GAN KO XO II LES AMIS SINCÈRES EXISTENT-ILS ENCORE ?,45.92,success,Audios/G9rcSKO4-8A.mp3
I1Q0EGlfkRw,https://www.youtube.com/watch?v=I1Q0EGlfkRw,BANDE ANNONCE #GANKOXO DU DIMANCHE 14/08/2022,1.0,success,Audios/I1Q0EGlfkRw.mp3
fHIi3NoqEaY,https://www.youtube.com/watch?v=fHIi3NoqEaY,GAN KO XO II 3 ou 4 ans à l'extérieur et loin de son/sa conjoint(e) ?,68.75,success,Audios/fHIi3NoqEaY.mp3
gIMKeuX5tcg,https://www.youtube.com/watch?v=gIMKeuX5tcg,BANDE ANNONCE #GANKOXO DU DIMANCHE 21 AOÛT 2022,1.1,success,Audios/gIMKeuX5tcg.mp3
EbhPDmak8r8,https://www.youtube.com/watch?v=EbhPDmak8r8,GAN KO XO II POUR OU CONTRE LA LIVRAISON DE REPAS,64.7,success,Audios/EbhPDmak8r8.mp3
4v9HVuHK6hg,https://www.youtube.com/watch?v=4v9HVuHK6hg,GAN KO XO II  FÂ: Gbé Yèkou,17.2,success,Audios/4v9HVuHK6hg.mp3
OzkTSwLgCh4,https://www.youtube.com/watch?v=OzkTSwLgCh4,GAN KO XO II  FÂ: Lossô Woli,15.02,success,Audios/OzkTSwLgCh4.mp3
0eg1j7DRRRQ,https://www.youtube.com/watch?v=0eg1j7DRRRQ,L'artiste Prince GUEDESSI sur GAN KO XO,22.43,success,Audios/0eg1j7DRRRQ.mp3
4pTQ3yepUm0,https://www.youtube.com/watch?v=4pTQ3yepUm0,L'artiste Blèkpon Honoré sur GAN KO XO,24.53,success,Audios/4pTQ3yepUm0.mp3
v_r4NWIJvMM,https://www.youtube.com/watch?v=v_r4NWIJvMM,"""BEST OF GAN KO XO"" SAISON 01",1.2,success,Audios/v_r4NWIJvMM.mp3
1LqHS9ZUl6o,https://www.youtube.com/watch?v=1LqHS9ZUl6o,L'amour sans argent est possible selon Tchéhoumon 😀,2.2,success,Audios/1LqHS9ZUl6o.mp3
WnnEn4sI9ek,https://www.youtube.com/watch?v=WnnEn4sI9ek,Nan Ayinon : Oui l'amour sans l'argent est possible !,2.75,success,Audios/WnnEn4sI9ek.mp3
_O00jVwklaU,https://www.youtube.com/watch?v=_O00jVwklaU,Elifaz : Mon Agone va bien,2.1,success,Audios/_O00jVwklaU.mp3
iabpH53ZPWo,https://www.youtube.com/watch?v=iabpH53ZPWo,Elifaz : Son histoire avec le football,2.92,success,Audios/iabpH53ZPWo.mp3
X5lPg4Mm-EU,https://www.youtube.com/watch?v=X5lPg4Mm-EU,Comment Elifaz a commencé l'humour ?,2.22,success,Audios/X5lPg4Mm-EU.mp3
BBcuMjE1Q7o,https://www.youtube.com/watch?v=BBcuMjE1Q7o,Sans l'argent pas d'amour selon dah Djogui 😀,2.07,success,Audios/BBcuMjE1Q7o.mp3
0DoBG20KHvo,https://www.youtube.com/watch?v=0DoBG20KHvo,L'amour est-il possible sans l'argent ?,1.88,success,Audios/0DoBG20KHvo.mp3
_eWkJmdP_l8,https://www.youtube.com/watch?v=_eWkJmdP_l8,L'amour et l'argent : Avis de Aladja Moussé,1.48,success,Audios/_eWkJmdP_l8.mp3
DyMpNxumkuc,https://www.youtube.com/watch?v=DyMpNxumkuc,Une relation sans l'argent est-elle possible ?,6.3,success,Audios/DyMpNxumkuc.mp3
BsegLSf6pkc,https://www.youtube.com/watch?v=BsegLSf6pkc,Faut-il avoir d'ambition dans la vie ? TCHEHOUMON répond,2.83,success,Audios/BsegLSf6pkc.mp3
VBOdhcWKX1U,https://www.youtube.com/watch?v=VBOdhcWKX1U,AMBITIONS : Bonne ou Mauvaise,1.58,success,Audios/VBOdhcWKX1U.mp3
DJcX0hsx75o,https://www.youtube.com/watch?v=DJcX0hsx75o,MOLO MOLO SUR GAN KO XO PARLE  DE L'AMBITION DANS LA VIE,4.18,success,Audios/DJcX0hsx75o.mp3
uYt2iPF_pDM,https://www.youtube.com/watch?v=uYt2iPF_pDM,Conséquences des ambitions démesurées,6.05,success,Audios/uYt2iPF_pDM.mp3
